# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	27429
#@/user_id	659266f3-df3f-408b-a1c2-a69bcad06620
a 	啊	c=16 d=1.03335 t=9474
ban nian 	半年	c=1 d=0.100001 t=7876
ban nian yi hou 	半年以後	c=1 d=1 t=7877
ban tong bu 	辦同步	c=1 d=1 t=21825
bang ding 	綁定	c=5 d=1 t=20716
bang ding de 	綁定的	c=1 d=1 t=12347
bang le 	綁了	c=1 d=1 t=22022
bang mang 	幫忙	c=3 d=1 t=16920
bang ni 	幫你	c=1 d=1 t=4368
bang wo 	幫我	c=3 d=1 t=26961
bang zai 	綁在	c=1 d=1 t=18997
bang zhu 	幫助	c=2 d=1 t=10410
bao 	包	c=10 d=0.100008 t=26661
bao 	報	c=1 d=1 t=2314
bao 	寶	c=2 d=1 t=24349
bao bei 	包被	c=1 d=1 t=16339
bao chi 	保持	c=3 d=1 t=25269
bao cun 	保存	c=4 d=1 t=24763
bao cun le 	保存了	c=1 d=1 t=1377
bao cuo 	報錯	c=8 d=1.93223 t=14408
bao di 	宝地	c=1 d=0.1 t=15337
bao fei 	報廢	c=1 d=1 t=23466
bao gao 	報告	c=2 d=1.00015 t=20586
bao guan li qi 	包管理器	c=1 d=1 t=626
bao han 	包含	c=17 d=1.00781 t=23884
bao han le 	包含了	c=3 d=1.97531 t=11740
bao hang 	包行	c=1 d=1 t=15607
bao he 	飽合	c=2 d=1.64726 t=6490
bao he 	飽和	c=2 d=1.64404 t=6492
bao hu 	保護	c=2 d=1 t=16979
bao hu le 	保護了	c=1 d=1 t=9471
bao jia qi 	包家期	c=1 d=1 t=7061
bao jin qu 	包進去	c=1 d=1 t=26662
bao kuo 	包括	c=23 d=1 t=26687
bao kuo le 	包括了	c=2 d=1 t=18970
bao le 	包了	c=8 d=1.93107 t=23660
bao le 	報了	c=1 d=1 t=2340
bao li shi 	暴力史	c=1 d=1 t=9368
bao liu 	保留	c=1 d=1 t=24236
bao man 	爆滿	c=1 d=1 t=4955
bao shi 	寶石	c=1 d=1 t=5595
bao wei zhan 	保衛戰	c=1 d=1 t=423
bao xian 	保險	c=1 d=0.1 t=7753
bao xiang 	包廂	c=1 d=1 t=6163
bao xiang 	宝相	c=1 d=1 t=5534
bao xiang 	寶箱	c=1 d=1.056 t=5544
bao xiao 	報銷	c=1 d=1.09005 t=2558
bao zai 	包在	c=3 d=1 t=11766
bao zha 	爆炸	c=1 d=1 t=11503
bao zheng 	保證	c=18 d=1.00271 t=26199
bao zhuang 	包裝	c=0 d=0.100002 t=4191
bao zhuang le 	包裝了	c=1 d=1 t=4192
bao zhuang zai 	包裝在	c=2 d=1 t=9006
bei 	倍	c=1 d=1 t=17393
bei 	盃	c=0 d=0.1 t=19747
bei 	被	c=32 d=1.67957 t=24808
bei dong 	被動	c=1 d=1 t=12494
bei dou 	北斗	c=1 d=1 t=10898
bei fa xian 	被發現	c=1 d=1 t=19092
bei guan 	悲觀	c=1 d=1.09501 t=6601
bei guan shi wu 	悲觀事務	c=1 d=1 t=6602
bei jing 	北京	c=7 d=1 t=23275
bei jing 	背景	c=5 d=1.00328 t=25491
bei jing yin hang 	北京銀行	c=1 d=1 t=2193
bei jing yin yue 	背景音樂	c=1 d=1 t=24823
bei ren 	被人	c=1 d=1 t=9861
bei you 	北郵	c=1 d=1 t=9895
bei zhu 	備注	c=1 d=1 t=20349
ben 	本	c=3 d=1.00003 t=16682
ben ci 	本次	c=3 d=1.00001 t=18870
ben di 	本地	c=7 d=1.00024 t=10396
ben fang an 	本方案	c=3 d=1.00015 t=17667
ben jie 	本節	c=1 d=1 t=23912
ben ke 	本科	c=2 d=1 t=13374
ben lai 	本來	c=1 d=1 t=16223
ben lun 	本輪	c=1 d=1 t=16696
ben pian 	本篇	c=1 d=1 t=7977
ben pian wen zhang 	本篇文章	c=1 d=1 t=14740
ben ren 	本人	c=1 d=1 t=8029
ben shen 	本身	c=17 d=2.69511 t=27079
ben wen 	本文	c=4 d=1 t=27167
ben zhi 	本質	c=7 d=1 t=24247
ben zhi shang 	本質上	c=6 d=1.00027 t=25000
ben zhuan ye 	本專業	c=1 d=1 t=7115
beng kui 	崩潰	c=1 d=1 t=17342
bi 	比	c=16 d=1.80653 t=25178
bi ji 	筆記	c=3 d=1 t=27120
bi jiao 	比校	c=1 d=1 t=5340
bi jiao 	比較	c=34 d=0.938743 t=27306
bi jiao da 	比較大	c=2 d=1 t=25478
bi jiao de 	比較的	c=1 d=1 t=25087
bi jiao duo 	比較多	c=2 d=1 t=21866
bi jiao fang bian 	比較方便	c=1 d=1 t=24297
bi jiao fu za 	比較複雜	c=1 d=1 t=22948
bi jiao hao 	比較好	c=1 d=1 t=4351
bi jiao hou 	比較後	c=1 d=1 t=26904
bi jiao ming xian 	比較明顯	c=1 d=1 t=25333
bi jiao mo 	比較摸	c=1 d=1 t=27307
bi jiao shu fu 	比較舒服	c=1 d=1 t=9198
bi jiao tong yong 	比較通用	c=1 d=1 t=27035
bi jiao xiang 	比較像	c=1 d=1 t=5321
bi jing 	畢竟	c=1 d=1 t=23529
bi li 	比例	c=5 d=2.82533 t=14110
bi mian 	避免	c=25 d=1.32893 t=26947
bi ru 	比如	c=16 d=1.1282 t=25190
bi shui 	避稅	c=1 d=1 t=9719
bi te bi 	比特幣	c=2 d=1.99005 t=3436
bi wu 	筆誤	c=4 d=2.75075 t=8111
bi xu 	必須	c=0 d=0.1 t=8254
bi xu dei 	必須得	c=1 d=1 t=8255
bi yao 	必要	c=4 d=1 t=22970
bi ye 	畢業	c=9 d=1.67706 t=9779
bi ye le 	畢業了	c=1 d=1 t=4480
bi ye ri qi 	畢業日期	c=2 d=1 t=13376
bi ye ri qi 	畢業日氣	c=1 d=1 t=143
bi ye sheng 	畢業生	c=2 d=1 t=9795
bi ye zheng 	畢業證	c=2 d=1.00049 t=11210
bi ye zheng shu 	畢業證書	c=2 d=1.99005 t=9852
bi yu 	閉域	c=2 d=1.97045 t=8024
bian 	變	c=3 d=0.100034 t=20862
bian cheng 	變成	c=8 d=1 t=17377
bian de 	變的	c=1 d=1 t=13531
bian dong 	變動	c=1 d=1 t=1938
bian duo le 	變多了	c=1 d=1 t=20863
bian geng 	變更	c=2 d=1 t=22688
bian hao 	編號	c=1 d=1 t=7493
bian hua 	變化	c=13 d=1 t=26152
bian ji 	編輯	c=1 d=0.1 t=24353
bian ji hou 	編輯後	c=1 d=1 t=19433
bian jie 	边界	c=1 d=1 t=4352
bian le 	變了	c=5 d=1.11727 t=19177
bian le de 	變了的	c=3 d=1 t=20889
bian li 	遍歷	c=8 d=1.02858 t=16900
bian liang 	變量	c=8 d=0.127876 t=21644
bian liang gai cheng 	變量改成	c=1 d=1 t=21645
bian liang ming 	變量名	c=2 d=1 t=21174
bian ma 	編碼	c=3 d=1 t=19389
bian man 	變慢	c=1 d=1 t=27428
bian wei 	變爲	c=5 d=1.29229 t=25277
bian yi 	編譯	c=9 d=2.46412 t=21075
bian yi qi 	編譯期	c=1 d=1 t=19476
bian yu 	便於	c=2 d=1.54335 t=23939
biao 	表	c=34 d=1.28618 t=27302
biao de 	表的	c=1 d=1 t=27285
biao ge 	表格	c=1 d=1 t=1126
biao ji 	標記	c=6 d=1 t=26799
biao ji 	表級	c=5 d=2.20882 t=21443
biao ji wei 	標記爲	c=1 d=1 t=21437
biao li 	表裡	c=4 d=2.14265 t=24002
biao qian 	標籤	c=2 d=1 t=21875
biao shi 	表示	c=32 d=1.00001 t=26332
biao shu 	表述	c=1 d=1 t=27269
biao zhong 	表中	c=2 d=1 t=24643
biao zhun 	標準	c=2 d=1 t=17764
bie 	別	c=3 d=1 t=26800
bie de 	別的	c=4 d=1 t=23565
bie ren 	別人	c=1 d=1 t=17530
bin 	斌	c=1 d=1 t=562
bing 	並	c=19 d=2.48994 t=26012
bing bu 	並不	c=2 d=1 t=15185
bing bu hui 	並不會	c=2 d=1 t=26441
bing bu neng 	並不能	c=1 d=1 t=23118
bing bu shi 	並不是	c=6 d=1.00024 t=27137
bing bu zhi chi 	並不支持	c=1 d=1 t=664
bing bu zhun que 	並不準確	c=1 d=1 t=14114
bing fa 	併發	c=4 d=1 t=22501
bing fa du 	併發度	c=2 d=1 t=11936
bing geng xin 	並更新	c=1 d=1 t=1413
bing jiang 	並將	c=1 d=1 t=19949
bing mei 	並沒	c=1 d=1 t=8030
bing mei you 	並沒有	c=4 d=1 t=26636
bing qie 	並且	c=6 d=1 t=19922
bing wei 	並未	c=1 d=0.1 t=23549
bing wei 	併爲	c=1 d=1 t=19987
bing wei zuo 	並未做	c=1 d=1 t=23550
bing wu 	並無	c=1 d=1 t=8174
bing xing 	並行	c=5 d=1 t=20824
bing xing du 	並行度	c=1 d=1 t=21964
bing xu yao 	並需要	c=1 d=1 t=25882
bing zai 	並在	c=1 d=1 t=25970
bo 	波	c=1 d=1 t=27355
bo de 	博得	c=0 d=0.1 t=11131
bo de zhi men 	博得之門	c=7 d=6.5481 t=11156
bo ke 	博客	c=1 d=1 t=9915
bo wu guan 	博物館	c=1 d=1 t=2368
bu 	不	c=26 d=1.03772 t=27088
bu 	步	c=1 d=1 t=19229
bu 	補	c=1 d=1 t=4621
bu an 	不安	c=1 d=1 t=7330
bu bao he 	不飽和	c=1 d=1 t=3307
bu bao xiao 	不報銷	c=1 d=1 t=2559
bu bian 	不變	c=2 d=1 t=20796
bu bian liang 	不變量	c=3 d=2.39504 t=17802
bu bu le 	不補了	c=1 d=1 t=7859
bu chi le 	不喫了	c=1 d=1 t=1852
bu chong 	補充	c=2 d=1 t=24740
bu chu 	不出	c=0 d=0.1 t=13697
bu chu lai 	不出來	c=0 d=0.1 t=18497
bu cun zai 	不存在	c=1 d=1 t=24526
bu cuo 	不錯	c=5 d=1.00137 t=19167
bu da 	不大	c=2 d=1.00217 t=8246
bu dai 	不帶	c=1 d=1 t=26611
bu dai suo 	不帶鎖	c=2 d=1.95123 t=24889
bu dao 	不到	c=0 d=0.1 t=24108
bu dei 	不得	c=1 d=1 t=6436
bu dong 	不懂	c=3 d=1.10774 t=7766
bu dong a 	不懂啊	c=1 d=1 t=7765
bu dong le 	不懂了	c=1 d=1 t=3387
bu duan 	不斷	c=3 d=0.186726 t=19066
bu duan chong shi 	不斷重試	c=1 d=1 t=19067
bu dui 	不對	c=3 d=0.1 t=22321
bu dui qi 	不對齊	c=1 d=1 t=1390
bu e wai 	不額外	c=1 d=1 t=17445
bu er 	布爾	c=0 d=0.1 t=22559
bu er zu he 	布爾組合	c=2 d=1.96079 t=22568
bu fang bian 	不方便	c=1 d=1 t=8228
bu fen 	部分	c=14 d=1.96079 t=26942
bu fu 	不符	c=1 d=1 t=21061
bu fu he 	不符合	c=2 d=1 t=14923
bu gai 	不改	c=2 d=1 t=27281
bu gan 	不幹	c=1 d=0.100001 t=10335
bu gan 	不感	c=0 d=0.1 t=14528
bu gan shi 	不幹事	c=1 d=1 t=17150
bu gan zhi 	不感知	c=2 d=1 t=20901
bu gao 	不搞	c=1 d=1 t=21942
bu gen 	不跟	c=2 d=1.90484 t=12927
bu geng xin 	不更新	c=1 d=1 t=16839
bu gou 	不夠	c=3 d=1.00003 t=11831
bu gou le 	不夠了	c=1 d=1 t=2523
bu guan 	不管	c=2 d=1 t=12084
bu guan le 	不管了	c=1 d=1 t=10139
bu guo 	不過	c=5 d=0.1 t=19147
bu hai shi 	不還是	c=1 d=1 t=9457
bu hao 	不好	c=3 d=1 t=26706
bu hao fen lei 	不好分類	c=1 d=1 t=20690
bu hao gai 	不好改	c=2 d=1.00014 t=19292
bu hao ma 	不好嗎	c=1 d=1 t=9208
bu hao yi si 	不好意思	c=1 d=1 t=27232
bu he li 	不合理	c=8 d=1.42842 t=26445
bu hui 	不會	c=12 d=0.101081 t=26110
bu hui hen da 	不會很大	c=1 d=1 t=26111
bu hui shi 	不會是	c=1 d=1 t=10808
bu hui you 	不會有	c=4 d=2.76613 t=15226
bu hui you ren 	不會有人	c=1 d=1 t=7875
bu huo 	捕獲	c=5 d=3.52265 t=25995
bu huo dao 	捕獲到	c=2 d=1 t=26856
bu huo dao de 	捕獲到的	c=1 d=1 t=23622
bu huo yue 	不活躍	c=1 d=1 t=8743
bu ji 	不急	c=1 d=1 t=16723
bu ji de 	不記得	c=3 d=1.12307 t=18268
bu ji de le 	不記得了	c=1 d=1 t=5233
bu ji shi 	不及時	c=8 d=1 t=26744
bu jia 	不加	c=1 d=1 t=2459
bu jiao 	不叫	c=1 d=1 t=5339
bu jin 	不進	c=1 d=1 t=10583
bu jin shi 	不僅是	c=1 d=1 t=5240
bu jiu 	不就	c=1 d=1 t=8810
bu jiu shi 	不就是	c=1 d=1 t=8724
bu ju bei 	不具備	c=1 d=1 t=4578
bu kao lv 	不考慮	c=1 d=1 t=24138
bu ke bi mian 	不可避免	c=1 d=1 t=12046
bu ke jian 	不可見	c=1 d=1 t=13889
bu ke neng 	不可能	c=1 d=1 t=5161
bu ke yi 	不可以	c=1 d=0.1 t=25191
bu ke yi o 	不可以哦	c=1 d=1 t=25192
bu ken ding 	不肯定	c=1 d=1 t=8232
bu lai zi 	不來自	c=1 d=1 t=26894
bu lei si 	不類似	c=1 d=1 t=4635
bu li wo 	不理我	c=0 d=0.1 t=6408
bu li yu 	不利於	c=1 d=1 t=25893
bu liao 	不了	c=2 d=0.1 t=24945
bu luo fen 	布洛芬	c=1 d=1 t=23161
bu man 	不滿	c=2 d=1.87372 t=5660
bu men 	部門	c=3 d=1 t=7798
bu na 	不拿	c=2 d=1.09003 t=16797
bu na suo 	不拿鎖	c=1 d=1 t=16777
bu neng 	不能	c=6 d=1.14957 t=14897
bu neng chi 	不能喫	c=0 d=0.1 t=6081
bu neng chi la 	不能喫辣	c=1 d=1 t=6082
bu pi pei 	不匹配	c=1 d=1 t=10389
bu qi lai 	不起來	c=1 d=1 t=22731
bu qing 	不清	c=0 d=0.1 t=7813
bu qing chu 	不清楚	c=2 d=1 t=18500
bu qing le 	不清了	c=1 d=1 t=7814
bu quan 	補全	c=4 d=1.96079 t=22917
bu que ding 	不確定	c=1 d=1 t=24190
bu ran 	不然	c=9 d=1.01708 t=22729
bu rang 	不讓	c=1 d=1 t=11501
bu ren shi 	不認識	c=1 d=1 t=4706
bu ru 	不如	c=3 d=1.08291 t=23864
bu shang 	不上	c=0 d=0.1 t=17280
bu shao 	不少	c=4 d=1 t=22675
bu she zhi 	不設置	c=1 d=1 t=20996
bu shen 	不深	c=1 d=1 t=170
bu shi 	不是	c=38 d=1.9334 t=26952
bu shu 	不熟	c=0 d=0.1 t=4497
bu shu 	部署	c=1 d=1 t=2321
bu shu fu 	不舒服	c=1 d=1 t=5124
bu shuang 	不爽	c=1 d=1 t=6348
bu suan 	不算	c=1 d=1 t=13439
bu ta ma 	不他媽	c=1 d=1 t=8221
bu tai 	不太	c=7 d=2.14317 t=26977
bu tai dui 	不太對	c=1 d=1 t=18074
bu tai gou 	不臺夠	c=1 d=1 t=11393
bu tai hao 	不太好	c=1 d=0.183946 t=26668
bu tai hao ba 	不太好吧	c=1 d=1 t=26634
bu tai hao shi 	不太好使	c=2 d=1.50158 t=26807
bu tai xing 	不太行	c=3 d=1 t=24388
bu tai yi yang 	不太一樣	c=2 d=1 t=13728
bu tai you 	不太有	c=1 d=1 t=15575
bu tai zheng chang 	不太正常	c=1 d=1 t=26910
bu tiao 	不調	c=0 d=0.1 t=4652
bu tiao xiu 	不調休	c=2 d=1.98511 t=4656
bu ting 	不停	c=3 d=1 t=23142
bu ting 	不聽	c=1 d=1 t=1889
bu tong 	不同	c=29 d=2.01024 t=26929
bu tong bu 	不同步	c=1 d=1 t=3088
bu tong lei xing 	不同類型	c=1 d=1 t=10082
bu tong mo kuai 	不同模塊	c=1 d=1 t=21910
bu tong you xian ji 	不同優先級	c=1 d=1 t=22499
bu tong yu 	不同於	c=3 d=1 t=17719
bu tui jian 	不推薦	c=1 d=1 t=26972
bu wen ding 	不穩定	c=5 d=1.05208 t=21781
bu xi huan 	不喜歡	c=1 d=1 t=6085
bu xian shi 	不現實	c=2 d=1 t=17799
bu xiang guan 	不相關	c=1 d=1 t=22814
bu xiao hao 	不消耗	c=1 d=1 t=5719
bu xing 	不行	c=5 d=1 t=20251
bu xing ma 	不行嗎	c=1 d=1 t=9345
bu xu yao 	不需要	c=9 d=1.00002 t=14311
bu yao 	不要	c=4 d=1 t=27357
bu yi 	不易	c=0 d=0.1 t=24240
bu yi ding 	不一定	c=5 d=1.69768 t=25649
bu yi lai 	不依賴	c=1 d=1 t=13333
bu yi shou 	不易受	c=1 d=1 t=24241
bu yi yang 	不一樣	c=3 d=1 t=24419
bu yi zhi 	不一致	c=3 d=1.00005 t=14642
bu ying gai 	不應該	c=3 d=1 t=26484
bu ying xiang 	不影響	c=2 d=1 t=26472
bu yong 	不用	c=2 d=0.122148 t=18007
bu yun xu 	不允許	c=1 d=1 t=10125
bu za 	不咋	c=1 d=1 t=5871
bu zai 	不再	c=18 d=1.00123 t=24334
bu zai 	不在	c=6 d=1.03703 t=12194
bu zeng jia 	不增加	c=1 d=1 t=15022
bu zhao 	不招	c=1 d=1 t=4924
bu zhao 	補招	c=1 d=1 t=4789
bu zheng chang 	不正常	c=1 d=1 t=26086
bu zheng que 	不正確	c=1 d=1 t=13089
bu zhi dao 	不知道	c=14 d=1.00002 t=25498
bu zhi jie 	不直接	c=1 d=1 t=21897
bu zhi xing 	不執行	c=1 d=1 t=24396
bu zhou 	步驟	c=3 d=1.00014 t=17097
bu zhun 	不准	c=7 d=1 t=20313
bu zhun que 	不準確	c=0 d=0.1 t=14113
bu zu se 	不阻塞	c=1 d=1 t=24780
bu zuo 	不做	c=2 d=1.97045 t=27279
bu zuo 	不坐	c=2 d=1 t=24407
bu zuo chu li 	不做處理	c=2 d=1.00108 t=23730
cai 	才	c=5 d=1.01168 t=8694
cai 	材	c=1 d=1 t=9912
cai 	菜	c=4 d=1.05537 t=9303
cai 	裁	c=1 d=1 t=5163
cai de 	猜的	c=1 d=1 t=2709
cai fa 	纔發	c=1 d=1 t=18210
cai fu 	財富	c=0 d=0.1 t=3436
cai fu zi you 	財富自由	c=1 d=1 t=3437
cai hui 	纔會	c=2 d=1.11025 t=8319
cai ji 	採集	c=1 d=1 t=25800
cai jian 	裁剪	c=1 d=1 t=285
cai ke yi 	纔可以	c=1 d=1 t=3527
cai liao 	材料	c=5 d=1.02433 t=11224
cai neng 	才能	c=14 d=1.32044 t=25303
cai neng zhi dao 	才能知道	c=1 d=1 t=25304
cai qu 	採取	c=1 d=1 t=7354
cai shi 	纔是	c=2 d=1.00001 t=27197
cai yong 	採用	c=5 d=1.0788 t=15925
cai you 	纔有	c=1 d=1 t=11344
cai yuan 	裁員	c=1 d=1 t=21641
can 	燦	c=1 d=1 t=18286
can 	餐	c=1 d=1 t=4620
can jia 	參加	c=3 d=0.1 t=27040
can kao 	參考	c=31 d=1.12124 t=27117
can kao wen xian 	參考文獻	c=1 d=1 t=6495
can kao yi xia 	參考一下	c=1 d=1 t=23084
can liu 	殘留	c=4 d=2.00645 t=14360
can shu 	參數	c=22 d=1.00242 t=26976
can yu 	參與	c=2 d=1 t=14573
can yu zhe 	參與者	c=4 d=1.88327 t=8629
can zhao 	參照	c=1 d=1 t=23277
cang 	倉	c=0 d=0.1 t=354
cang bao tu 	藏寶圖	c=1 d=1 t=5589
cang hai 	滄海	c=0 d=0.1 t=25167
cang hai yue ming 	滄海月明	c=1 d=1 t=25168
cang shan 	蒼山	c=1 d=1 t=8916
cao 	草	c=16 d=1 t=22399
cao gao 	草稿	c=3 d=1.00074 t=22071
cao ni ma 	草泥馬	c=2 d=1 t=6410
cao zuo 	操作	c=27 d=1.00017 t=25037
cao zuo hou 	操作後	c=1 d=1 t=9976
ce 	側	c=5 d=1.00001 t=24943
ce 	測	c=5 d=1.43113 t=27179
ce ce 	測測	c=2 d=1 t=22610
ce de 	測的	c=1 d=1 t=24944
ce le 	測了	c=2 d=0.702102 t=27179
ce le ce 	測了測	c=1 d=1 t=27180
ce lue 	策略	c=8 d=1.23575 t=26458
ce shi 	測試	c=79 d=1.17713 t=27062
ce shi chang jing 	測試場景	c=1 d=1 t=26217
ce shi ji 	測濕計	c=1 d=1 t=13841
ce shi ji 	測試機	c=1 d=1 t=13842
ce shi yi xia 	測試一下	c=1 d=1 t=20574
ce wan le 	測完了	c=1 d=1 t=5003
ceng 	層	c=61 d=1.03308 t=27213
ceng de 	層的	c=1 d=1 t=26255
ceng shu 	層數	c=4 d=1 t=26412
ceng shu duo le 	層數多了	c=1 d=1 t=4342
cha 	差	c=1 d=0.1 t=24945
cha 	查	c=4 d=1.47093 t=24233
cha bie 	差別	c=6 d=1 t=27314
cha bu duo 	差不多	c=9 d=1.06306 t=21732
cha bu liao 	差不了	c=1 d=1 t=24946
cha bu liao 	查不了	c=1 d=1 t=1710
cha dao 	插到	c=1 d=1 t=7617
cha de 	差得	c=3 d=1 t=27319
cha jian 	插件	c=2 d=1 t=19457
cha jin 	插進	c=1 d=1 t=3556
cha ju 	差距	c=1 d=1 t=11993
cha man 	插滿	c=0 d=0.1 t=16593
cha man le 	插滿了	c=1 d=1 t=16594
cha ru 	插入	c=26 d=1 t=27066
cha xun 	查詢	c=30 d=4.34236 t=26714
cha xun shi 	查詢時	c=2 d=1.84366 t=4071
cha yi ci 	查一次	c=2 d=1.57407 t=23797
cha zhao 	查找	c=1 d=1 t=985
chai 	拆	c=2 d=1 t=25758
chai cheng 	拆成	c=2 d=1.75201 t=25813
chai fen 	拆分	c=4 d=2.64072 t=1237
chai lv 	差旅	c=1 d=1 t=15979
chan chu 	產出	c=2 d=1 t=20270
chan pin 	產品	c=1 d=1 t=10651
chan sheng 	產生	c=11 d=1.00044 t=22888
chan wu 	產物	c=2 d=1 t=8435
chang 	長	c=3 d=1 t=25580
chang du 	長度	c=4 d=3.74787 t=25600
chang hai 	常海	c=1 d=1 t=2574
chang hai 	長海	c=1 d=1 t=2575
chang hai yi yuan 	長海醫院	c=1 d=1 t=2564
chang hui 	長會	c=1 d=1 t=25166
chang jie 	常傑	c=1 d=0.1 t=21237
chang jing 	場景	c=23 d=1.11338 t=26243
chang liang 	常量	c=2 d=1.20701 t=23488
chang pao 	暢跑	c=1 d=1 t=13565
chang qi 	長期	c=1 d=1 t=10112
chang sha 	長沙	c=1 d=1 t=8713
chang shi 	嘗試	c=6 d=1.00001 t=18190
chang shi jian 	長時間	c=2 d=1.12682 t=19129
chang shu 	常數	c=1 d=1 t=17184
chang wen 	長穩	c=2 d=1.956 t=13705
chang zui 	長醉	c=1 d=1 t=2774
chao 	抄	c=2 d=0.1 t=20587
chao 	超	c=1 d=1 t=22007
chao chu 	超出	c=1 d=1 t=24567
chao de 	抄的	c=1 d=1 t=22614
chao guo 	超過	c=18 d=0.100038 t=26859
chao guo le 	超過了	c=1 d=1 t=16609
chao guo yu zhi 	超過閾值	c=1 d=1 t=21503
chao hu xiang xiang 	超乎想象	c=1 d=1 t=2764
chao ji 	超級	c=1 d=1 t=20008
chao shi 	超時	c=37 d=1.00002 t=26852
chao shi shi jian 	超時時間	c=1 d=1 t=17389
chao song 	抄送	c=0 d=0.1 t=17528
chao song le 	抄送了	c=1 d=1 t=17529
chao yi ge 	抄一個	c=1 d=1 t=20588
chao yi xia 	抄一下	c=1 d=1 t=6441
che 	車	c=10 d=1.94808 t=17795
che di 	徹底	c=1 d=1 t=12000
chen 	晨	c=3 d=1 t=27423
chen 	陳	c=3 d=1 t=15098
chen dian 	沉澱	c=5 d=4.92597 t=4759
chen liang 	晨亮	c=1 d=1 t=23311
chen qi ao 	陳淇奥	c=12 d=1.00172 t=19717
chen wei 	陳偉	c=3 d=2.00678 t=7045
chen xi 	晨曦	c=1 d=1 t=19317
cheng 	成	c=11 d=1.00303 t=25759
cheng 	程	c=10 d=1.89553 t=19470
cheng 	稱	c=1 d=1 t=26525
cheng bao 	承包	c=0 d=0.1 t=11166
cheng bao le 	承包了	c=1 d=1 t=11167
cheng ben 	成本	c=1 d=1 t=21068
cheng dan 	承擔	c=1 d=1 t=18430
cheng du 	成都	c=0 d=0.1 t=21574
cheng du 	程度	c=1 d=1 t=21578
cheng fa qun 	乘法群	c=1 d=1 t=8139
cheng fen 	成分	c=1 d=1 t=5519
cheng gong 	成功	c=33 d=1.91042 t=20378
cheng gong hou 	成功後	c=4 d=1.89803 t=24040
cheng gong le 	成功了	c=1 d=1 t=8387
cheng hu 	稱呼	c=1 d=1 t=7099
cheng ji dan 	成績單	c=4 d=1.99625 t=11214
cheng ke 	乘客	c=24 d=8.70414 t=17742
cheng ke man le 	乘客滿了	c=1 d=1 t=17180
cheng le 	成了	c=1 d=1 t=9108
cheng nuo shu 	承諾書	c=2 d=1.00048 t=11212
cheng wei 	成爲	c=6 d=1 t=21862
cheng wei 	稱爲	c=1 d=1 t=20005
cheng xu 	程序	c=1 d=1 t=24868
cheng yi ge 	成一個	c=1 d=1 t=14321
cheng yuan 	成員	c=16 d=1 t=22040
cheng yuan bian liang 	成員變量	c=1 d=1 t=18356
cheng zuo 	稱作	c=1 d=1 t=1739
